,Unnamed: 0,French,English
0,1,histoire,history
1,2,chercher,search
2,3,seulement,only
3,5,aide,help
4,6,genre,kind
5,7,mois,month
6,8,frère,brother
7,10,car,because
8,11,mettre,to put
9,13,eux,them
10,15,chaque,each
11,16,parlé,speak
12,20,heures,hours
13,23,revoir,meet again
14,25,place,square
15,26,parle,speak
16,28,savais,knew
17,30,attention,Warning
18,31,pourrais,could
19,32,affaire,case
20,35,leurs,their
21,38,corps,body
22,40,yeux,eyes
23,41,façon,way
24,44,trouve,find
25,46,perdu,lost
26,49,pouvoir,power
27,50,vieux,old
28,51,sois,be
29,53,tellement,so much
30,55,point,point
31,56,venu,came
32,57,suite,after
33,58,pardon,sorry
34,59,venez,come
35,62,minutes,minutes
36,64,belle,beautiful
37,67,mari,husband
38,71,eau,water
39,72,attendez,Wait
40,73,parti,left
41,74,nouvelle,new
42,76,dirait,would say
43,82,croire,believe
44,83,chérie,sweetheart
45,84,gros,large
46,85,plutôt,rather
47,87,filles,girls
48,89,bureau,office
